uuid,fips,urbanicity,name,type,juvenile_type,operator,capacity,private_name,ice_active,num_facilities,twp,facility_name,address,city,zip,lat,lon,facility_name_2,address_2,city_2,zip_2,lat_2,lon_2,facility_name_3,address_3,city_3,zip_3,lat_3,lon_3,coj_adultm,coj_adultf,coj_juvm, coj_juvf,coj_totgender,adltjuv,state_doc,state_doc_twp,state_doc_total,out_of_state,federal,ice,pretrial,parish_hold,total_pop,map_jails,map_twp,map_private,map_prison,map_juvenile,est_doc_rev,GT_1000_beds_99,GT_1000_beds_19
21,22013,rural,Bienville Parish,Jail,,City,25,,0,1,0,Arcadia City Jail,1819 South Railroad Avenue,Arcadia,71001,32.547567,-92.9215749,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,0,0
22,22015,small/mid,Bossier Parish,Jail,,City,70,,0,1,0,Bossier City Jail,620 Benton Road,Bossier City,71111,32.5253131,-93.7143974,,,,,,,,,,,,,24,8,0,0,32,0,,,,,,,,,,1,0,0,0,0,,0,1
23,22015,small/mid,Bossier Parish,Jail,,Police Jury,558,,0,1,0,Bossier Maximum Security Center,2985 Old Plain Dealing Road,Plain Dealing,70164,32.8394932,-93.7483493,,,,,,,,,,,,,331,79,0,0,410,0,9,0,9,2,0,0,446,11,468,1,0,0,0,0,86691.15,0,1
24,22015,small/mid,Bossier Parish,Jail,,Sheriff,664,,1,1,0,Bossier Medium Correctional Center,2984 Old Plain Dealing Road,Plain Dealing,70164,32.8389867,-93.7463406,,,,,,,,,,,,,479,0,0,0,479,0,508,0,508,0,33,0,6,2,549,1,0,0,0,0,4893233.8,0,1
25,22015,small/mid,Bossier Parish,Juvenile,Non-Secure Residential Group Home,Private,24,,0,1,0,Ware Youth Center - Group Home,4815 Shed Road,Bossier City,71111,32.54656428,-93.66784244,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,0,1
26,22017,small/mid,Caddo Parish,TWP Facility,,Sheriff,240,,0,1,1,Caddo Transitional Work Program,1125 Forum Drive,Shreveport,71107,32.5338718,-93.7832792,,,,,,,,,,,,,90,0,0,0,90,0,,,,,,,,,,0,1,0,0,0,,1,1
27,22017,small/mid,Caddo Parish,Jail,,City,284,,0,1,0,Shreveport City Jail,755 Hope Street,Shreveport,71101,32.5038639,-93.7560472,,,,,,,,,,,,,92,24,0,0,116,0,,,,,,,,,,1,0,0,0,0,,1,1
28,22017,small/mid,Caddo Parish,Jail,,Sheriff,1500,,0,1,0,Caddo Correctional Center,1101 Forum Drive,Shreveport,71107,32.5320721,-93.7811527,,,,,,,,,,,,,1161,135,0,0,1296,0,226,0,226,5,83,0,"1,063",28,1405,1,0,0,0,0,2176911.1,1,1
29,22017,small/mid,Caddo Parish,Jail,,City,132,,0,1,0,Vivian City Jail,121 North Pine Street,Vivian,71082,32.8733974,-93.9864675,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,1,1
30,22017,small/mid,Caddo Parish,Juvenile,Detention,Parish,26,,0,1,0,Caddo Parish Juvenile Detention Center,1835 Spring Street,Shreveport,71101,32.50316311,-93.72972746,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,1,1
31,22017,small/mid,Caddo Parish,Juvenile,Non-Secure Residential Group Home,Private,38,,0,1,0,Rutherford House,1707 Line Avenue,Shreveport,71101,32.49620818,-93.7455324,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,1,1
32,22017,small/mid,Caddo Parish,Juvenile,Non-Secure Residential Transitional Living Program,Private,58,,0,1,0,L.L. Brandon Transitional Home,1 Larry Brandon III Circle,Shreveport,71109,32.47425359,-93.82982477,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,1,1
33,22019,small/mid,Calcasieu Parish,Jail,,Sheriff,661,,0,1,0,Calcasieu Correctional Center,5410 East Broad Street,Lake Charles,70615,30.2270907,-93.1409095,,,,,,,,,,,,,573,21,3,0,597,3,13,0,13,0,0,0,120,0,133,1,0,0,0,0,125220.55,1,1
34,22019,small/mid,Calcasieu Parish,Jail,,City,20,,0,1,0,De Quincy City Jail,101 South Pine Street,Dequincy,70633,30.4497119,-93.4355194,,,,,,,,,,,,,10,0,0,0,10,0,10,0,10,0,0,0,0,0,10,1,0,0,0,0,96323.5,1,1
35,22019,small/mid,Calcasieu Parish,Jail,,City,30,,0,1,0,Sulphur City Jail,500-B N Huntington Street,Sulphur,70663,30.2427146,-93.3771577,,,,,,,,,,,,,17,4,0,0,21,0,1,0,1,0,0,0,7,0,8,1,0,0,0,0,9632.35,1,1
36,22019,small/mid,Calcasieu Parish,TWP Facility,,Private,44,Citizens in Need of Care,0,1,1,Citizens in Need of Care (CINC) - St. Martin Deporres (Male),1101 Canvasback,Lake Charles,70615,30.2252884,-93.1596518,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,,1,1
37,22019,small/mid,Calcasieu Parish,Holding Cell,,City,2,,0,1,0,Iowa City Jail,115 N Thomson Ave,Iowa,70647,30.2396919,-93.014092,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,1,1
38,22019,small/mid,Calcasieu Parish,Jail,,City,58,,0,1,0,Lake Charles City Jail,830 Enterprise Boulevard,Lake Charles,70601,30.2265815,-93.2048809,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,1,1
39,22019,small/mid,Calcasieu Parish,Jail,,City,112,,0,1,0,Vinton City Jail,1200 Horridge Street,Vinton,70668,30.1926677,-93.5815248,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,1,1
40,22019,small/mid,Calcasieu Parish,Jail,,City,65,,0,1,0,Westlake City Jail,701 Johnson Street,Westlake,70669,30.241148,-93.2552607,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,1,1
41,22019,small/mid,Calcasieu Parish,Juvenile,Detention,Parish,38,,0,1,0,Calcasieu Parish Juvenile Detention Center,3615 East Prien Lake Road,Lake Charles,70615,30.19944105,-93.16208808,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,1,1
42,22019,small/mid,Calcasieu Parish,Juvenile,Non-Secure Residential,Private,46,,0,1,0,Boys Village,7378 Highway 90 East,Lake Charles,70615,30.23362959,-93.08162113,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,1,1
43,22019,small/mid,Calcasieu Parish,Juvenile,Non-Secure Residential Emergency Shelter,Private,18,,0,1,0,"Educational and Treatment Council, Inc. Harbour House",2400 Merganser Street,Lake Charles,70615,30.2153081,-93.16410206,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,1,1
